"domanda","opzioneA","opzioneB","opzioneC","opzioneD","soluzione","motivazione"
"88. Layer 4 switches are devices with hardware support to execute operations:","Based on information of Layer 4 and lower layers","Based on information of Layer 4 and higher layers","Based only on Layer 4 information","Based only on Layers 3 and 4 information","A","Layer 4 switches inspect L2/L3 headers alongside L4 data (like TCP/UDP port numbers) to make intelligent routing decisions."
"89. In the design of the core portion of a campus network, it should be better to select network devices:","That are able to compute quickly the routing tables","That are able to manage very big routing table","With high data forwarding capacity","That are able to support a high number of different data link technologies","C","Core networks prioritize raw, high-speed packet switching over complex policy or large routing table management."
"90. In case of a network that uses multilayer switches (L2-L3 switches):","Each link that connects a host to the switch is served by an IP network with netmask/30","Each device (switch) has an IP address for each VLAN","The network manager can decide, for each interface of the switch, if it must be configured at level 2 or level 3","We need to use VLANs","C","Multilayer switch ports are flexible; they can act as standard L2 switchports or be assigned IP addresses as L3 routed ports."
"91. In case of a network that uses multilayer switches (L2-L3 switches), with the Spanning Tree turned on:","We need first to determine the outcome of Spanning Tree, and then which are the HSRP active/standby routers","We need first to determine which are the HSRP active/standby routers, and then the outcome of Spanning Tree","The HSRP active/standby routers and outcome of Spanning Tree are independent issues, although we should determine both","We need to determine the outcome of Spanning Tree","D","STP dictates the baseline L2 physical topology, which must be resolved before L3 protocols like HSRP can operate reliably over it."
"92. In case of a network that uses multilayer switches (L2-3 switches):","Paths are more optimized if the root bridge overlaps with the possible active router deter- mined by HSRP/VRRP","Paths are more optimized if the root bridge does not overlap with the possible active router determined by HSRP/VRRP","The path determined by the Spanning Tree and the possible active router determined by HSRP/VRRP are indipendent concepts and therefore they do not affect how traffic is propogated over the network","Paths mainly depend on the configuration of level 3 addresses associated with VLANs","A","Aligning the STP Root Bridge with the HSRP Active router prevents traffic from crossing suboptimal L2 blocked paths before exiting the subnet."
"93. In a Content Delivery Network, the content of a server (e.g. web pages) are replicated and:","Distributed over the network, provided that all servers are physically close together","Distributed over the network, provided that all servers are physically far each other","Distributed over the network, no matter of the physical location of servers","Distributed over the network, provided that all servers belong to the same IP subnet","C","CDNs distribute content logically based on global presence and user proximity, decoupled from single physical locations."
"94. In a DNS-based Content Delivery Network:","The DNS answers to users' HTTP requests redirecting them to the nearest cache","The DNS answers to domain names requests (e.g ""cnn.com"") redirecting them to the nearest DNS cache","The DNS returns an IP address according to the requested DNS name (e.g. ""[www.cnn.com](https://www.cnn.com)"") and the source IP address of the client","The DNS returns an IP address according to the requested DNSname (e.g. ""[www.cnn.com](https://www.cnn.com)"") and the destination IP address of the client","C","DNS-based CDNs use the requesting client's DNS resolver IP to intelligently return the IP address of the geographically closest edge cache."
"95. A Load Balancing Server can operate according to the following principles:","Content-unaware (layer 4 switching) and Content-aware (layer 7 switching)","Content-unaware (layer 7 switching) and Content-aware (layer 4 switching)","Content-unaware (layer 4 switching) and DNS-based Routing","DNS-based Routing and Content-aware (layer 7 switching)","A","Load balancers generally act at Layer 4 (IP/Ports without inspecting payload) or Layer 7 (inspecting application logic like HTTP headers)."
"96. A Content-unaware Load Balancing Server is able to distribute the load according to:","Information present in layer 3, 4 protocols and to the DNS name requested","Information present in layer 3 and 4","Information present in layer 4 and 7","Information present in layer 2, 3, 4 and 7","B","Content-unaware balancers make forwarding decisions solely using Layer 3 (IP addresses) and Layer 4 (TCP/UDP ports) headers."
"97. A Sticky Connection:","Identifies an HTTP connection whose state must be maintained for the entire duration of connection","Identify the set of HTTP connections that share some common state (e.g. shopping chart)","Requires that the Server Load Balancer forwards the traffic of a user always to the same physical server","Requires that the web server involved in the transaction stores user data on the same disk of the Storage Area Network","B","Sticky sessions map a specific user's sequence of related HTTP requests to the exact same physical backend server to maintain application state."
"98. In the event that a user connects to a web service that is powered by a battery of physical servers behind a Load Balancer Server, the use of cookies within HTTP sessions:","It may be necessary to handle sticky connections","It may be necessary to store the credentials of a user","It is a technique commonly used to violate privacy of the user","It is a technique to create persistent pop-ups on the user desktop","A","HTTP cookies are the primary method L7 load balancers use to identify a user session and route them to their sticky backend server."
"99. Which one among the following points does not apply to Network Attached Storage (NAS):","Most operating systems are able to mount a shared disk without additional drivers","The NAS is able to operate on Wide Area Networks","Minimum impact on existing infrastructure","The client have full control over the disc","D","NAS provides file-level access over a network; the client OS does not have raw block-level control over the physical disk."
"100. A Network Attached Storage (NAS):","It is typically used to allow the client to boot from the network","It is typically used to share the disks on Wide Area Networks","Allows clients to have full control over the disc","It has a minimal impact on network infrastructure and existing software","D","NAS uses standard network protocols (like SMB or NFS), integrating easily into existing IP networks without heavy infrastructure changes."
"101. In Storage Area Networks (SAN), the virtualization of the storage space is implemented at:","File system level","Physical level (blocks on the disk)","At choice, File System or Physical level (blocks on the disk)","Physical level (blocks on the disk) as long as you use a set of specific File Systems","B","Unlike NAS, SANs provide raw block-level access to storage, requiring the client OS to format and manage the file system."
"102. A possible protocol stack used in a Storage Area Network (SAN) is:","Fiber Channel - Ethernet","Fiber Channel IP Ethernet","iSCSI UDP IP Ethernet","CIFSTCP-IP Ethernet","A","Fibre Channel over Ethernet (FCoE) encapsulates raw Fibre Channel frames directly over Ethernet for high-speed block storage."
"103. The IEEE 802.1x standard describes the behavior of the EAPOL authentication protocol, which is used to allow the communication between:","Supplicant and Authentication server","Authenticator and Authentication server","Supplicant and Authenticator","Supplicant and Authenticator, and then between Authenticator and Authentication server","C","EAPOL (EAP over LAN) defines the L2 communication strictly between the client (Supplicant) and the access switch (Authenticator)."
"104. The EAPOL protocol defined in the standard IEEE 802.1x is a:","Layer 2 protocol","Layer 3 protocol","Layer 4 protocol","Layer 7 protocol","A","EAPOL operates strictly at Layer 2 to control physical port access before any IP address (Layer 3) is even assigned."
"105. Inside the IEEE 802.1x specification, the RADIUS protocol:","Defines the necessary data to the authentication of the user","Transports the data concerning the authentication of the user to the RADIUS authentication server","Allows the RADIUS authentication server to communicate with the server that keeps the database of the users (es. LDAP, Active Directory, etc.) in the selected domain","Allows the exchange of appropriate authentication messages between the client (supplicant) and the access Server (Authenticator)","B","The switch (Authenticator) repackages the client's EAP credentials into RADIUS packets to securely communicate with the backend Authentication Server."
"106. The dynamic associations of a port on a switch to a VLAN that depends on the user that is currently connecting over that port:","Cannot be done","Is the default solution in VLAN configuration","Can be done through a particular extension of the protocol 802.1x","Can be done only if the user station has the port configured as ""trunk""","C","802.1x allows the RADIUS server to push dynamic VLAN assignments down to the switch port upon successful user authentication."
"107. The protocol 802.1x recognizes the user according to:","Proper credentials (e.g. Username/password)","The MAC address of the Network Interface Card (NIof the user","The IP address configured on the interface of the host","The DNS name associated to the user","A","802.1x relies on explicit identity credentials (like EAP-PEAP usernames or EAP-TLS certificates), providing much stronger security than easily spoofed MAC addresses."
