"domanda","opzioneA","opzioneB","opzioneC","opzioneD","soluzione","motivazione"
"In una topologia ad albero con N nodi, il numero di canali bidirezionali è uguale a","N","N-1","2N","N(N-1)/2","B","Vedi lucidi “Topologia ad Albero”."
"Nell’intestazione (header) UDP, ovvero nella PCI del protocollo UDP, sono obbligatoriamente contenuti","Il valore del Maximum Segment Size negoziato tra trasmettitore e ricevitore","Il campo checksum, per il rilevamento dell’errore","Alcuni flag (nel campo CODE) per la apertura e chiusura della connessione","","B","L’UDP fornisce soltanto i servizi basilari di livello di trasporto, ovvero: multiplazione delle connessioni e la verifica degli errori mediante un checksum inserita nell’header del pacchetto. (Fonte Wikipedia)"
"Il livello trasporto in Internet","Fornisce un trasporto affidabile dell’informazione se si utilizza il protocollo UDP","Fornisce solo un trasporto inaffidabile","Fornisce sempre un trasporto affidabile dell’informazione","Fornisce un trasporto affidabile dell’informazione se si utilizza il protocollo TCP","D","TCP è un protocollo di rete a pacchetto di livello di trasporto appartenente alla suite dei protocolli internet che si occupa di controllo di trasmissione ovvero rendere affidabile la commutazione dati in rete tra mittente e destinatario. (Fonte Wikipedia)"
"In una tabella di instradamento di un router IP è presente una maschera in cui i primi 24 bit (i più significativi) sono ad 1 e gli ultimi 8 bit (i meno significativi) sono a 0. Quale delle seguenti affermazioni è vera?","La maschera può essere associata ad un indirizzo di classe B “subnettato”","La maschera è sicuramente associata ad un indirizzo di classe A “subnettato”","La maschera non può essere associata ad un indirizzo di classe C","","A","Una maschera di 24 può essere associata a un indirizzo IP di classe A, B o C. Se fosse di classe C, la subnet sarebbe lunga come la subnet della classe: non creerebbe sottoclassi ma sarebbe comunque ammissibile (poiché la maschera sarebbe comunque >= alla subnet della classe)."
"Un protocollo Go-Back-N con finestra di trasmissione di dimensione Wt","Può funzionare solo usando un numero di bit di numerazione maggiore o uguale a log2(Wt)","Può funzionare solo usando un numero di bit di numerazione maggiore o uguale a log2(Wt-1)","Può solo funzionare usando un numero di bit di numerazione maggiore o uguale a log2(Wt+1)","","C","Per definizione Go-Back-N ammette come finestra di trasmissione Wt<2^k. Ovvero Wt <= 2^k-1 ; Wt+1 <= 2^k ; k>=log2(Wt+1)"
"La tecnologia ADSL (Asymmetric Digital Subscriber Line)","È stata progettata principalmente per fornire un servizio di accesso fonia/dati ad un utente residenziale che prevalentemente effettua accessi al Web come client","È stata progettata principalmente per consentire l’interconnessione di reti locali a grandi distanze","È stata progettata principalmente per fornire un servizio di accesso puramente dati ad un fornitore di servizi Web che dispone di uno o più server Web","","A","Vedi lucidi “ADSL”."
"Le caratteristiche di qualità richieste da un servizio di telefonia sono:","Trasferimento delle informazioni con ritardo massimo dell’ordine delle centinaia di millisecondi e jitter del ritardo estremamente basso; bit rate dell’ordine delle decine di kbit/s; probabilità di errore non superiore a qualche unità percentuale; probabilità di blocco non superiore a qualche unità percentuale","Trasferimento delle informazioni con ritardo massimo dell’ordine delle decine di secondi; probabilità di errore trascurabile; probabilità di blocco trascurabile","Trasferimento delle informazioni con ritardo massimo dell’ordine delle centinaia di millisecondi e jitter del ritardo estremamente basso; bit rate dell’ordine delle decine di Mbit/s; probabilità di errore non superiore a qualche unità percentuale; probabilità di blocco non superiore a qualche unità percentuale","","A","Vedi lucidi “Indici di qualità (telefonia)”."
"Nell’instradamento IP originario, ovvero senza uso di maschere, la scelta dell’interfaccia di uscita su cui inoltrare un pacchetto si basa","Sull’indirizzo IP completo (net_id + host_id) del destinatario","Sulla parte di subnet(net_id) dell’indirizzo IP del destinatario","Solo sulla parte di host (host_id) dell’indirizzo IP del destinatario","","B","Per scegliere dove inoltrare il pacchetto è sufficiente sapere la net_id (id di rete) del destinatario."
"Il DNS (Domain Name Service):","Per aumentare l’affidabilità e la velocità di risposta del sistema utilizza un insieme di cache, ma ogni risoluzione deve comunque sempre raggiungere il server autoritativo per il dominio a cui appartiene il nome","È utilizzato dagli operatori per la vendita dei nomi di dominio ai propri clienti che necessitano di creare server pubblici","È basato su un sistema di server gerarchici, ognuno responsabile del naming di una particolare zona","Rappresenta un prodotto per distribuire il carico su più router all’interno della rete locale","C","Il DNS (Domain Name Service) è un sistema utilizzato per la risoluzione di nomi dei nodi della rete (host) in indirizzi IP. Il servizio è realizzato tramite un database distribuito, costituito dai server DNS."
"Quale tra le seguenti affermazioni nel confronto tra i protocolli Aloha e Slotted-Aloha è falsa?","Slotted-Aloha consente un miglior sfruttamento delle capacità del mezzo trasmissivo","Le prestazioni di Aloha sono meno dipendenti rispetto a Slotted-Aloha dai ritardi di propagazione","Aloha è più semplice da implementare non richiedendo una sincronizzazione di slot","","B","Il protocollo Slotted Aloha aggiunge al protocollo Aloha da cui deriva un’ulteriore caratteristica, ovvero quella che il tempo è suddiviso in intervalli discreti chiamati slot. La conseguenza di tale caratteristica è che due trasmissioni o collidono completamente all’interno dello stesso slot oppure non collidono affatto; il problema delle collisioni parziali presenti in Aloha risulta eliminato. (Fonte Wikipedia)"
"Nel caso della commutazione di pacchetto","La funzione di commutazione alloca agli interlocutori un sottoinsieme delle risorse di rete con le quali si instaurano uno o più circuiti per il collegamento dei terminali di utente; le risorse dovranno essere rilasciate qualora esse siano necessarie per l’instaurazione di altri circuiti","La funzione di commutazione alloca agli interlocutori in uso esclusivo un sottoinsieme delle risorse di rete con le quali si instaurano uno o più circuiti per il collegamento dei terminali di utente; le risorse sono rilasciate solo alla fine della comunicazione","La funzione di commutazione non alloca agli interlocutori in uso esclusivo un sottoinsieme delle risorse di rete; tutte le risorse di rete sono sempre disponibili per la trasmissione dei pacchetti; i pacchetti attendono in apposite code che le risorse necessarie diventino disponibili","","C","Vedi lucidi “Commutazione di pacchetto”."
"Nell’intestazione (header) UDP, ovvero nella PCI del protocollo UDP sono obbligatoriamente contenuti","Il campo TTL (Time To Live) che permette l’eliminazione della rete dei pacchetti che hanno attraversato un numero eccessivo di router","La porta di sorgente e di destinazione","L’indirizzo IP di sorgente e destinazione","","B","Vedi lucidi “UDP: segment header”."
"Le tabelle di instradamento in Internet","Indicano la sequenza di router da attraversare per raggiungere una certa destinazione arp","Indicano solo il prossimo router da attraversare per raggiungere la destinazione","Indicano la sequenza di autonomous system da attraversare per raggiungere una certa destinazione","","B","Vedi lucidi “IP routing (next hop)”."
"Il trasferimento dei dati tra due processi applicativi nel modello OSI avviene coinvolgendo","Solamente due entità del livello applicazione, una per ognuno dei due sistemi","Almeno una entità per ognuno dei sette livelli in entrambi i sistemi","Una entità in ciascun sistema, indipendente dal livello cui appartengono","","B","Essendo il livello applicativo il più alto nella pila ISO-OSI, al trasmettitore deve prima passare tutti e 6 i livelli inferiori e poi al ricevitore salire tutti i livelli fino all’ultimo."
"Si considerino due LAN Ethernet A e B, collegate da uno switch B1 e da un router R1 (B1 ed R1 sono in parallelo tra le due LAN). Si supponga che lo switch ed il router abbiano entrambe le porte attive e conoscano tutti gli indirizzi (MAC ed IP rispettivamente) degli host collegati alle due LAN. Quando un host collegato alla LAN A trasmette un pacchetto ARP per ottenere l’indirizzo MAC del router R1, quale tra le seguenti affermazioni è vera?","Il pacchetto è inoltrato sulla LAN B solo dal router R1","Il pacchetto è inoltrato sulla LAN B solo dallo switch B1","Il pacchetto è inoltrato sulla LAN B o dallo switch o dal router, a seconda del valore dell’indirizzo MAC di destinazione contenuto nel pacchetto","Il pacchetto è inoltrato sulla LAN B sia dal router R1 sia dallo switch B1","B","Il router riceve l’ARP e riconosce che è destinato a lui tramite il payload. Quindi non lo inoltra ma risponde all’host che ha richiesto il MAC. Lo switch, essendo il pacchetto ARP inviato in broadcast, lo inoltra a tutte le sue porte tranne quella da cui lo ha ricevuto."
"Il protocollo SMTP","Opera sul protocollo UDP, poiché i messaggi di posta elettronica sono di solito brevi","È basato su messaggi che includono sempre una autenticazione crittografata","È usato per la consegna di messaggi di posta elettronica in uscita da un client verso un dato server","È usato per trasferire messaggi di posta elettronica da un server ad un client installato su un PC","C","SMTP è il protocollo utilizzato per inviare e ricevere mail dai server di posta elettronica. I client usano SMTP solo per inviare il messaggio al server mail il quale si occupa dell’invio del messaggio stesso."
"Nel caso dell’uso di un protocollo Stop-And-Wait su di un canale non sequenziale","Viene sempre gestito senza problemi","Può dare luogo a malfunzionamenti del protocollo, fino a causare perdita di informazione e blocco degli algoritmi","Può dare luogo a malfunzionamenti del protocollo, fino a causare perdita di informazione, ma non il blocco degli algoritmi","","B","Sulle slide è presente un esempio di blocco dell’algoritmo e di perdita di informazioni, succede con bit di numerazione k = 1."
"Un (N-1)-protocollo permette l’interazione","Tra una (N+1)-entità ed una (N-1)-entità","Tra due (N-1)-entità","Tra due entità qualsiasi, indipendentemente dal livello, purchè appartenenti a sistemi diversi","Tra due (N)-entità","B","Per definizione i protocolli lavorano con entità’ dello stesso livello del protocollo"
"Nel caso della commutazione di circuito","La funzione di commutazione alloca agli interlocutori un sottoinsieme delle risorse di rete con le quali si instaurano uno o più circuiti per il collegamento dei terminali di utente; le risorse dovranno essere rilasciate qualora esse siano necessarie per l’instaurazione di altri circuiti","La funzione di commutazione alloca agli interlocutori in uso esclusivo un sottoinsieme delle risorse di rete con le quali si instaurano uno o più circuiti per il collegamento dei terminali di utente; le risorse sono rilasciate solo alla fine della comunicazione","La funzione di commutazione non alloca agli interlocutori in uso esclusivo un sottoinsieme delle risorse di rete; tutte le risorse di rete sono sempre disponibili per la trasmissione dei pacchetti; i pacchetti attendono in apposite code che le risorse necessarie diventino disponibili","","B","Vedi lucidi “Commutazione a circuito”."
"Gli indirizzi IP versione 4 di classe C caratterizzano:","Comunicazioni multicast","(Poche) reti con un grande numero di host","(Molte) reti con un piccolo numero di host","Comunicazioni broadcast","C","Gli indirizzi di classe C sono simili agli indirizzi classless con maschera /24. Questo indica un elevato numero di network e un basso numero di host (256 host per network)."
"I protocolli CSMA e CSMA-CA","Cercano di evitare l’interferenza tra le trasmissioni di utenti che condividono un canale broadcast mediante un ascolto preventivo dello stato del canale; la trasmissione può avere inizio solo se il canale viene ascoltato libero","Non implementano alcun controllo preventivo per evitare l’interferenza tra le trasmissioni di utenti che condividono un canale broadcast; solo nel caso di interferenza (collisione) si interviene, ripetendo la trasmissione dopo un ritardo casuale","Cercano di evitare l’interferenza tra le trasmissioni di utenti che condividono un canale broadcast mediante un ascolto preventivo dello stato del canale; la trasmissione può avere inizio solo se il canale è effettivamente libero","","A","Vedi lucidi “CSMA”."
"Per segnalazione si intende","Il trasferimento di informazioni da un punto ad uno o più altri punti","Lo scambio di informazioni che riguardano il controllo di una rete di telecomunicazioni","Il processo di interconnessione di risorse per il tempo necessario alla comunicazione","","B","Vedi lucidi su “Segnalazione”."
"Il protocollo MIME permette","Di avere dati codificati in modo diverso all’interno del messaggio di posta elettronica","Di prenotare le risorse in rete in modo che un messaggio email con allegato un file multimediale possa raggiungere la destinazione con qualità garantita","Di trasmettere informazioni utili ai destinatari della mail per monitorare la qualità della trasmissione","Controllare la riproduzione di un file multimediale scaricato dalla rete","A","Vedi lucidi “Message format: multimedia extensions”."
"Multiplazione statistica significa","Uno schema fisso di multiplazione in frequenza in cui la banda assegnata ai diversi flussi informativi è proporzionale alla velocità di trasmissione","Uno schema di multiplazione che prevede una scelta casuale tra multiplazione in frequenza e multiplazione nel tempo","Uno schema di multiplazione che non prevede un’assegnazione predeterminata delle risorse trasmissive ai flussi informativi","","C","La C corrisponde alla definizione della multiplazione statistica."
"Qual è l’ordine di grandezza della massima velocità di trasmissione su di una fibra ottica?","1 Tbit/s","1 kbit/s","1 Mbit/s","1 Gbit/s E) 1 bit/s","A","Vedi lucidi “La fibra ottica”."
"Se un router riceve un pacchetto TCP corretto, incapsulato in un pacchetto IP con intestazione destinato ad una porta TCP inesistente (per la quale non esiste un processo applicativo in attesa)","Lo scarta ed invia un pacchetto ICMP alla destinazione","Lo passa ad un processo applicativo di default che gestisce tutti i pacchetti TCP per i quali non esiste un processo applicativo disponibile","Ignora il valore della porta TCP ed invia il pacchetto","Lo scarta ed invia un pacchetto ICMP alla sorgente","C","Dato che il pacchetto TCP è incapsulato in un pacchetto IP, quest'ultimo non potrà rilevare l’errore della porta TCP, quindi la risposta corretta è la C."
"L’incremento della finestra corrente del trasmettitore TCP","E’ regolato solo dal ricevitore","E’ regolato dalla sola fase di controllo di congestione dello slow-start","E’ regolato dalla fase di controllo di congestione detta slow-start e di congestion avoidance","","C","Vedi lucidi “TCP congestion control”."
"I protocolli CSMA e CSMA-CD ammettono versioni 1-persistente e versione non-persistente","Nel caso della versione 1-persistente, se l’ascolto del canale indica che questo è occupato, il tentativo viene proposto di un ritardo casuale; nel caso delle versioni non-persistente, se l’ascolto del canale indica che è occupato, la trasmissione ha inizio non appena termina la trasmissione in corso","Nel caso della versione non-persistente, se l’ascolto del canale indica che questo è occupato, il tentativo viene proposto di un ritardo casuale; nel caso delle versioni 1-persistente, se l’ascolto del canale indica che è occupato, la trasmissione ha inizio non appena termina la trasmissione in corso","In entrambi i casi, se l’ascolto del canale indica che questo è occupato, il tentativo di trasmissione viene postergato con un ritardo casuale","","B","Vedi lucidi “CSMA”."
"Si supponga che tra un trasmettitore e un ricevitore che implementano uno schema ARQ (Automatic repeat request) di tipo Go-Back-N il tempo che intercorre tra l’inizio della trasmissione di una unità dati e la fine della ricezione del riscontro corrispondente sia costante e maggiore del tempo necessario a trasmettere la informazione memorizzabile nella finestra di trasmissione. In questa situazione, l’aumento della velocità di trasmissione sui canali che collegano il trasmettitore al ricevitore","Diminuisce la quantità di informazione mediamente trasferita nell’unità di tempo tra il trasmettitore e il ricevitore","Non riesce ad aumentare la quantità di informazione mediamente trasferita nell’unità di tempo tra il trasmettitore e il ricevitore","Aumenta la quantità di informazione mediamente trasferita nell’unità di tempo tra il trasmettitore e il ricevitore","","B","n = Wt / (1+2(Tp/Tx)) => a velocità maggiori, Se Tx diminuisce, il denominatore di n aumenta → n diminuisce"
"Nel modello OSI, la delimitazione delle trame, ovvero la capacità di identificare su un canale la fine di un pacchetto, è una funzione:","Eseguita da tutti i livelli OSI","Tipica del livello o sottolivello adiacente al livello fisico","Esclusiva del livello rete","","B","Se ne occupa il livello 2. finestra di ricezione di questo ricevitore fittizio"
"La tecnologia Frame Relay prevede","Il trasferimento di unità dati di dimensione fissa in modalità non orientata alla connessione","Il trasferimento di unità dati di dimensione fissa su circuiti virtuali","Il trasferimento di unità dati di dimensione variabile su circuiti virtuali","","C","Vedi lucidi “Frame Relay”."
"Il meccanismo di Network Address Translation (NAT)","Realizza in termini OSI una funzione di mapping tra (3)-indirizzi e (2)-indirizzi","Può modificare gli indirizzi IP dei pacchetti","Permette di associare l’indirizzo logico di un host all’indirizzo IP","Modifica il percorso dei pacchetti sulla rete internet","B","Vedi lucidi “NAT”."
"In assenza di altri pacchetti, il tempo minimo necessario ad un pacchetto per attraversare il commutatore operante in modalità store-and-forward","Cresce al crescere della velocità di trasmissione del pacchetto","Cresce al crescere della distanza tra la sorgente e la destinazione del pacchetto","Cresce al crescere del numero di bit di cui il pacchetto è composto","","C","Vedi lucidi “Store and forward”."
"Il programma applicativo PING","Utilizza messaggi del protocollo ICMP per determinare il percorso seguito per raggiungere un host appartenente alla rete internet","Utilizza una opzione del protocollo TCP per verificare la connettività di un host appartenente alla rete internet","Utilizza messaggi del protocollo ICMP per verificare la connettività di un host appartenente alla rete internet","","C","Vedi lucidi del comando “PING”."
"E’ data una topologia di rete con N nodi e M canali unidirezionali. Ogni canale ha capacità C Mbit/s. L’algoritmo di instradamento è tale da distribuire uniformemente il traffico sui canali della rete. Il numero medio di canali attraversato da un pacchetto nel percorso della sorgente alla destinazione è pari a D. La quantità massima di traffico smaltito dalla rete aumenta se:","Diminuisce C a pari N, M e D","Diminuisce M a pari N, D e C","Diminuisce D a pari N, M e C","Diminuisce N a pari D, M e C","C","se la distanza media diminuisce, a parità di capacità del canale ,il traffico smaltito dovrebbe aumentare."
"La multiplazione statistica","Può essere usata solamente in reti connectionless","Viene usata in reti telefoniche perché è strettamente associata all’uso di canali a velocità costante","Consiste nella condivisione di una stessa risorsa (canale trasmissivo, dispositivo di memoria, etc.) da parte di sorgenti di traffico che la usano in base alle necessità istantanee","Può essere usata solamente in reti orientate alla connessione, ma non a commutazione di circuito","C","Per definizione nella multiplazione statistica si può far usare la stessa risorsa in frequenza o in tempo a più sorgenti scommettendo sul fatto che queste non le useranno contemporaneamente. Vedi spiegazione videolezione 5."
"In una rete a commutazione di pacchetto operante in modalità store-and-forward, una maggior dimensione della unità dati","Aumenta la complessità dell’instradamento di ogni unità dati","Aumenta il tempo che intercorre da quando una unità dati raggiunge l’ingresso di un commutatore a quando questa lascia il commutatore","Aumenta il numero di operazioni che devono essere effettuate da un commutatore per trasferire la stessa quantità totale di informazione utente","","B","Pacchetti lunghi portano ad un maggior tempo di store da parte del nodo ricevente."
"Il controllo di congestione nel protocollo TCP","Non è disponibile","Si ha con ACK duplicati e sullo scadere del time-out","Si basa sulla segnalazione da parte del ricevitore della finestra di ricezione disponibile","","B","Il controllo di congestione va a decrementare la CWND di un valore che dipende dal tipo di congestione rilevata, ovvero se è stato rilevato Timeout o se sono stati ricevuti ACK duplicati."
"I protocolli a finestra sono chiamati anche ARQ (Automatic Retransmission reQuest) perchè","Nel caso di arrivo di un pacchetto errato il ricevitore chiede la ritrasmissione","Nel caso di mancato ritorno di un ACK il ricevitore chiede la ritrasmissione","Lo scadere del timeout al trasmettitore corrisponde ad una richiesta automatica di ritrasmissione","","C","vedi slide “Protocolli a Finestra”"
"Nel caso della segnalazione a canale comune","Ad ogni canale per il trasferimento di informazioni di utente corrisponde un canale di segnalazione","Un solo canale di segnalazione viene usato per controllare numerosi canali che trasferiscono informazioni di utente; il canale di segnalazione opera in modalità pacchetto","Un solo canale di segnalazione viene usato per controllare numerosi canali che trasferiscono informazioni di utente; il canale di segnalazione opera in modalità circuito","","B","nella segnalazione a canale comune le informazioni di utente viaggiano su canali separati ma con un unico canale di segnalazione usato per controllare la segnalazione di tutti i canali utenti. Il canale di segnalazione funziona a pacchetto."
"Allo stato attuale della tecnologia, è possibile trasmettere informazione senza amplificazione lungo la tratta trasmissiva su distanze maggiori utilizzando","Il canale hertziano (radio, satellite)","Le fibre ottiche","I doppini telefonici","I cavi coassiali","A","La B è sbagliata, fibra ottica: totale immunità da disturbi elettromagnetici, bassa attenuazione (~0.1dB/km), dipendente dalla lunghezza d’onda, richiede cavi con amplificatori ottici ridondati ogni 30/50 Km. La risposta giusta è la A."
"La funzione di (N+1)-direttorio associa","Un (N+1)-indirizzo ad un (N)-indirizzo","Un (N+1)-titolo ad un (N)-indirizzo","Un (N+1)-titolo ad un (N+2)-indirizzo","","B","Esiste una funzione di livello N detta (N)direttorio che stabilisce una corrispondenza tra gli (N)titoli e gli (N-1)indirizzi degli (N-1)SAP attraverso cui le (N)entità accedono ai (N-1) servizi. Essendo l’(N+1) direttorio la risposta dovrebbe quindi essere la B. Fonte: https://www.docsity.com/it/appunti-di-reti-telematiche-modello-osi/496/"
"Il preambolo che viene anteposto alle unità dati IEEE 802.3 (Ethernet) è necessario per","Consentire di mantenere la rete sincrona","Consentire la sincronizzazione dei ripetitori e dei ricevitori incontrati sulla rete locale","Consentire ai ripetitori di ritrasmettere le unità dati alla stessa velocità alla quale sono stati ricevuti","","B","Preambolo (di 7 byte): ciascuno di questi primi 7 byte ha valore 10101010 e servono a “svegliare” gli adattatori del ricevente e a sincronizzare gli oscillatori con quelli del trasmittente. Fonte:“Wikipedia”."
"Se un router rileva un checksum errato su un pacchetto IP, e quindi un potenziale errore sugli indirizzi IP contenuti nel pacchetto, in fase di instradamento","Lo scarta ed invia un pacchetto ICMP alla sola sorgente","Lo scarta ed invia un pacchetto ICMP sia alla sorgente sia alla destinazione","Lo scarta senza segnalarlo a nessun’altra entità di rete","Lo inoltra comunque verso la destinazione, inviando tuttavia un pacchetto ICMP alla sorgente per segnalare l’errore","C","L’header checksum di IP è un campo usato per il controllo di errori dell’header."
"Nel modello OSI, quali delle seguenti funzioni è svolta da entità del livello sessione?","L’instradamento delle unità dati in una tipologia non completamente connessa","La scelta della sintassi di rappresentazione dei dati per una sessione di lavoro","La definizione di punti di sincronizzazione in un flusso di unità dati","","C","I compiti del livello sessione sono: possibilità di intervento su dialogo tra pari, se ci sono errori nella connessione si ripristina la sessione utilizzando punti di sincronizzazione, gestione attività."
"La complessità delle procedure di instradamento utilizzate, all’interno di un nodo, per inoltrare informazioni ha maggior influenza sulle prestazioni di una rete nel caso di","Commutazione di pacchetto senza circuiti virtuali (modalità datagram)","Commutazione di pacchetto con circuiti virtuali","Commutazione di circuito","","A","Nel caso di datagram (no circuiti virtuali) occorre identificare in ogni pacchetto la coppia sorgente/destinazione cosa che comporta una maggiore complessità delle prestazioni di un nodo di rete. Nel caso di circuiti virtuali è sufficiente invece identificare il circuito virtuale. La coppia sorgente/destinazione è utilizzata solamente in fase di apertura del circuito. Vedi lucidi “Informazione di indirizzamento”."
"Il formato LLC SNaP (SubNetwork access Protocol) del protocollo IEEE 802.2 LLC","Permette la condivisione di un mezzo trasmissivo broadcast","Permette la coesistenza di un gran numero di protocolli di livello superiore al livello 2","È richiesto in Internet per trasferimento di unità dati nelle sottoreti","Garantisce il riconoscimento di errori di trasmissione","B","SNAP indica il protocollo di livello superiore. Vedi “Reti private/locali LLC Logical Link Control”."
"Nei protocolli CSMA e CSMA-CD il concetto di “persistenza” si riferisce a:","La modalità con cui avviene il tentativo di trasmissione, se l’ascolto del canale indica che questo è occupato","Il calcolo del tempo per il quale una stazione è autorizzata ad occupare il canale","La modalità con cui avviene il tentativo di ritrasmissione, se si è verificata una collisione","Il tempo durante il quale due trasmissioni si sovrappongono sul canale, condizione necessaria perchè la collisione sia rilevata","A","vedi lucidi “Protocolli di Accesso per Reti LAN”, non è la B perchè la fase di ‘Carrier Sense’ dove si ascolta il canale viene effettuata già alla prima trasmissione e non in seguito ad una trasmissione fallita (ovvero solo quando c’è necessità di ritrasmissione)."
"Nell’intestazione (header) IP, ovvero nella PCI del protocollo IP, sono contenuti","Il campo Checksum a 16 bit per il controllo di correttezza dell’intestazione e dei dati contenuti nel pacchetto","Il campo Sequence Number per la numerazione dei segmenti","I campi Identification e Fragment Offset che permettono la gestione della frammentazione dei pacchetti","","C","La risposta A è sbagliata, dato che dato che l’header checksum non controlla la correttezza dei dati ma solo la correttezza dell’intestazione. E’ sbagliata anche la B dato che il campo ‘Sequence Number’ è introdotto nell’header del protocollo TCP (quindi Strato Trasporto e non Strato Rete dove opera IP) per garantire l’arrivo dei pacchetti in ordine corretto."
"Per quale motivo la tecnologia VDSL ha prestazioni elevate solo se la distanza tra cabina di strada e casa dell’utente è inferiore al centinaio di metri?","Perché si riduce il ritardo end-to-end tra la casa dell’utente e la centrale dell’operatore","Perché si riducono i costi della posa dei cavi","Perché la minor lunghezza del cavo di rame permette l’uso di modulazione a bit rate più elevato","Perchè le connessioni devono attraversare un minor numero di nodi intermedi","C","Vedi lucidi “VDSL”."
"Il protocollo PPP (Point-to-Point Protocol) non usa i campi di indirizzo perché","Sfrutta gli indirizzi del MAC sottostante","Sfrutta gli indirizzi del livello superiore","Deve operare su collegamenti punto-punto","Non ha spazio nell’intestazione della trama","C","Vedi lucidi sul “PPP”."
"Il protocollo DHCP prevede che","Un client utilizzi un indirizzo IP non appena lo riceva dal server in un messaggio DHCP Offer.","Un client possa scollegarsi dalla rete senza comunicarlo al server.","Se esiste un server, questo è unico nella rete locale del client.","Il server non fornisca mai nella sua risposta anche l’indirizzo IP di un server DNS.","B","La risposta A è sbagliata, dato che dopo la DHCP Offer ho solo delle proposte e l’IP non è ancora stato assegnato. Solamente dopo il DHCP ACK il client può fare uso dell’indirizzo IP offerto dal server DHCP. La C risulta sbagliata dato che nella rete locale di un client possono esistere più server DHCP. La D è sbagliata, infatti il server DHCP fornisce al client DHCP indirizzi IP di uno o più server DNS. Per esclusione la risposta giusta è la B. Fonte “Wikipedia”."
"Le funzioni fondamentali del livello collegamento nel modello OSI sono","Controllo di flusso e recupero degli errori di trasmissione","Instradamento delle unità dati","Trasferimento delle cifre binarie sul canale","","A","Vedi lucidi “Livello Collegamento”. La B è falsa perché l’instradamento è compito del Livello Rete, mentre la C è falsa perché l’unico livello che si interfaccia con il canale è il Livello Fisico."
"Durante la fase di slow-start del controllo di congestione del protocollo TCP, la finestra corrente del trasmettitore","Viene dimezzata per ogni riscontro (ACK) mancante","Cresce di un segmento per ogni riscontro (ACK) ricevuto","Raddoppia per ogni riscontro (ACK) ricevuto","Resta costante nel tempo","B","Se c’è stato un time-out, per definizione e per restare conservativi, TCP Reno/Tahoe portano la cwnd ad 1 (entrano nella fase di slow-start). Qui la cwnd cresce di 1 MSS per ogni ACK ricevuto. Vedi lucidi TCP Reno."
"Qual è l’ordine di grandezza della massima velocità di trasmissione su cavo coassiale?","1 Tbit/s","1 Mbit/s","1 bit/s","1 kbit/s 5. 1 Gbit/s","B","Cavo coassiale: velocità trasmissive circa le centinaia di Mbit/s. Vedi lucidi “Cavo coassiale”."
"I protocolli a finestra possono essere usate","Solo per le comunicazioni che utilizzano una connessione","Sia per le comunicazioni che utilizzano una connessione che per quelle che non la utilizzano","Solo per le comunicazioni che non utilizzano una connessione","","A","I protocolli a finestra richiedono un handshake iniziale e quindi una connessione"
"L’Address Resolution Protocol (ARP)","Consente di ottenere un indirizzo Ethernet da assegnare alla scheda della macchina che ha effettuato la richiesta ARP","Consente ad un host di conoscere l’indirizzo iP del suo DNS server","Realizza in termini OSI una funzione di mapping (traduzione) tra (3)-indirizzi e (2)-indirizzi","","C","ARP consente di conoscere l’indirizzo MAC di un’altro host conoscendo il suo indirizzo IP. La A è sbagliata perché l’indirizzo MAC che viene restituito non è quello della macchina che ha effettuato la richiesta. La B è sbagliata perché quello è il compito di una DNS Discover e non di una ARP Request."
"Nel modello OSI, la segmentazione eseguita da un’entità di livello (N+1)","Crea tante (N+1)-PDU a partire da una singola (N+1)-SDU","Crea una (N+1)-PDU a partire da tante (N)-SDU","Accorpa tante (N+1)-PDU in un’unica (N)-SDU","Crea tante (N+1)-PCI per la stessa (N+1)-PDU","A","La segmentazione può avvenire costruendo più (N)-PDU da una (N)-SDU, oppure, generando più (N-1)-SDU da una (N)-PDU. Andando quindi a sostituire N con N+1 si ottiene la risposta A. Vedi lucidi “Creazione PDU”."
"Siano WT > 1 e WR > 1 le dimensioni, rispettivamente, della finestra di trasmissione e delle finestre di ricezione in un protocollo a finestra. Sia inoltre N la quantità totale di numeri di sequenza disponibili per distinguere le unità dati. Quale dei seguenti vincoli è condizione necessaria e sufficiente ad evitare malfunzionamenti su di un canale che non inverte l’ordine delle unità dati?","","","","","D","Supponendo N=2^k (visto che N=quantità totale di n°seq) la formula da rispettare è Wt+Wr<=2^k , ovvero Wt+Wr<=N , ovvero N >= Wt+Wr"
"I tre elementi fondamentali che definiscono un protocollo sono:","Algoritmi, formati, temporizzazioni","Algoritmi, formati, entità","Algoritmi, servizi, temporizzazioni","","A","Per definizione un protocollo si definisce come semantica, sintassi, temporizzazione. Vedi lucidi “Protocolli”."
"Una scheda Ethernet di un Bridge legge e decide se e come instradare","Tutti i pacchetti, indipendentemente dall’indirizzo di destinazione","Solo i pacchetti con indirizzo MAC di destinazione unicast pari a quello del bridge","Solo i pacchetti con indirizzo MAC di destinazione broadcast","Solo i pacchetti con indirizzo MAC di destinazione multicast","A","Per definizione ethernet di un Bridge legge e instrada tutti i pacchetti."
